cell,build,N,r,seed,role,prompt_tokens,prompt_len_mod_grid,tail_chunk_len,tail_step_graph_mode,prefill_chunks,corrupted,http_status,corrupted_counter_delta,prefix_hit_tokens,input_sha256,input_note,cache_salt,output_sha256
step7-fixed_r10,fixed,20,10,0,A,16330,10,10,PIECEWISE,8160:NONE|8160:NONE|10:PIECEWISE,0,200,0,0,3d6313156da10957042b414cdff93e50d720568e2e6e601ea74827b1c08c9272,,,
step7-fixed_r10,fixed,20,10,0,B,18630,678,678,NONE,1632:NONE|678:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r10,fixed,20,10,0,Bsalt,18630,678,678,NONE,8160:NONE|8160:NONE|1632:NONE|678:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r10,fixed,20,10,1,A,16330,10,10,PIECEWISE,8160:NONE|8160:NONE|10:PIECEWISE,0,200,0,0,3920ec5c97359f697e9f73333d7dc4aad498684d04c7dac2912b9e2ffdf9b223,,,
step7-fixed_r10,fixed,20,10,1,B,18630,678,678,NONE,1632:NONE|678:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r10,fixed,20,10,1,Bsalt,18630,678,678,NONE,8160:NONE|8160:NONE|1632:NONE|678:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r10,fixed,20,10,2,A,16330,10,10,PIECEWISE,8160:NONE|8160:NONE|10:PIECEWISE,0,200,0,0,e1ff0f66d8c0140a88623f9cb9b573ecbdb7a6cc7f426f1ca4e2f26d61c3a36b,,,
step7-fixed_r10,fixed,20,10,2,B,18630,678,678,NONE,1632:NONE|678:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r10,fixed,20,10,2,Bsalt,18630,678,678,NONE,8160:NONE|8160:NONE|1632:NONE|678:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,0,A,16324,4,4,PIECEWISE,8160:NONE|8160:NONE|4:PIECEWISE,0,200,0,0,9241bef6333750a5b8d4ec7c72fecddb74b8218ede8faaa8dffa533ae717d694,,,
step7-fixed_r4,fixed,20,4,0,B,18624,672,672,NONE,1632:NONE|672:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,0,Bsalt,18624,672,672,NONE,8160:NONE|8160:NONE|1632:NONE|672:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,1,A,16324,4,4,PIECEWISE,8160:NONE|8160:NONE|4:PIECEWISE,0,200,0,0,1da1af9a20ad29dd0fbb1b80c2381ad27b5b79919933a15b989fa29a874a8382,,,
step7-fixed_r4,fixed,20,4,1,B,18624,672,672,NONE,1632:NONE|672:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,1,Bsalt,18624,672,672,NONE,8160:NONE|8160:NONE|1632:NONE|672:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,2,A,16324,4,4,PIECEWISE,8160:NONE|8160:NONE|4:PIECEWISE,0,200,0,0,afc3b0eeb2791ebaaf0df39fb3f5c2094882a54d5747861a0ee13a8c5e2b4ca3,,,
step7-fixed_r4,fixed,20,4,2,B,18624,672,672,NONE,1632:NONE|672:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r4,fixed,20,4,2,Bsalt,18624,672,672,NONE,8160:NONE|8160:NONE|1632:NONE|672:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,0,A,16326,6,6,PIECEWISE,8160:NONE|8160:NONE|6:PIECEWISE,0,200,0,0,cd8d095542a6e0689dd82e9c485a1412c009472848a803323a515782fe5c19cb,,,
step7-fixed_r6,fixed,20,6,0,B,18626,674,674,NONE,1632:NONE|674:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,0,Bsalt,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,1,A,16326,6,6,PIECEWISE,8160:NONE|8160:NONE|6:PIECEWISE,0,200,0,0,cbeeac72885974b7453e9825a439ceb4de52fd35b8c53c76420f7c754aed36b4,,,
step7-fixed_r6,fixed,20,6,1,B,18626,674,674,NONE,1632:NONE|674:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,1,Bsalt,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,2,A,16326,6,6,PIECEWISE,8160:NONE|8160:NONE|6:PIECEWISE,0,200,0,0,5eb58df28ebad615a82af61a2fe930aab5dce9bc73e4df66b350bf1b718ea2f6,,,
step7-fixed_r6,fixed,20,6,2,B,18626,674,674,NONE,1632:NONE|674:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6,fixed,20,6,2,Bsalt,18626,674,674,NONE,8160:NONE|8160:NONE|1632:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,0,A,27750,6,6,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|6:PIECEWISE,0,200,0,0,2802af0fa3846656c412816f2943f5e5de5d0d1a11d24b172a082a1466951653,,,
step7-fixed_r6n34,fixed,34,6,0,B,30050,674,674,NONE,1632:NONE|674:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,0,Bsalt,30050,674,674,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,1,A,27750,6,6,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|6:PIECEWISE,0,200,0,0,2411973ad65be985fe2ccea3b957c75737d76aed138279603936bafdbd0aa291,,,
step7-fixed_r6n34,fixed,34,6,1,B,30050,674,674,NONE,1632:NONE|674:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,1,Bsalt,30050,674,674,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,2,A,27750,6,6,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|6:PIECEWISE,0,200,0,0,a61449f77e2b46b6800a4c6d049d0cbdc5464a072826de828f8eca013326942a,,,
step7-fixed_r6n34,fixed,34,6,2,B,30050,674,674,NONE,1632:NONE|674:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r6n34,fixed,34,6,2,Bsalt,30050,674,674,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|674:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r7,fixed,20,7,0,A,16327,7,7,PIECEWISE,8160:NONE|8160:NONE|7:PIECEWISE,0,200,0,0,ebccb646879cc213a902324dda6adb012e086f6c4cdc71abb45c8b11b958f894,,,
step7-fixed_r7,fixed,20,7,0,B,18627,675,675,NONE,1632:NONE|675:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r7,fixed,20,7,0,Bsalt,18627,675,675,NONE,8160:NONE|8160:NONE|1632:NONE|675:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r7,fixed,20,7,1,A,16327,7,7,PIECEWISE,8160:NONE|8160:NONE|7:PIECEWISE,0,200,0,0,cdd3ffb4e4cbb04afcadf1469a18d38571e55f450ab6ae53e5526854c9948661,,,
step7-fixed_r7,fixed,20,7,1,B,18627,675,675,NONE,1632:NONE|675:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r7,fixed,20,7,1,Bsalt,18627,675,675,NONE,8160:NONE|8160:NONE|1632:NONE|675:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-fixed_r7,fixed,20,7,2,A,16327,7,7,PIECEWISE,8160:NONE|8160:NONE|7:PIECEWISE,0,200,0,0,1ca00889f528f3999213873c7d60048b904eecbf2ccee8350d02474717b4f86b,,,
